Example,Seasonality,Reproductive Strategy ,Form,stem,Leaf position,Leaf shape,petiole,heads,Flower position,Phyllary/bracts,Receptacle/pedicel,Flowers types,Anther base,Anther tip,Corolla color,style tip,style branching,Fruit shape,Pappus/calyx/sepal,rhizome,Class
Kickxia,annual ,monoecious,,"decumbent,branched",alternate,"entire,pinnate",,none,solitary,,,bisexual,,,ybl,,,spheric,"equal,lobed",,Scrophulariaceae
Limosella,annual ,monoecious,,,,,,none,solitary,,present,bisexual,,,,,,"elliptic,spheric","acute,lobed",,Scrophulariaceae
Linaria,both,monoecious,,"ascending,erect,branched","opposite,whorled,alternate","simple,linear,ovate,entire,dentate,pinnate",no,none,"raceme,spike,terminal",reduced,,bisexual,,,ypuoblu,,,spheric,"equal,lobed",,Scrophulariaceae
Lindernia,anbi,monoecious,,branched,opposite,"entire,dentate",,none,pedicels,,present,bisexual,,,wblpu,,,capsule,free,,Scrophulariaceae
Maurandya,perennial ,monoecious,,"prostrate,erect","alternate,opposite","enitre,dentate,palmate",yes,none,solitary,,present,bisexual,,,wyrpu,,,"ovoid,spheric","equal,lobed",,Scrophulariaceae
Mimulus,annual,monoecious,shrub,erect,opposite,"toothed,entire",no,none,raceme,present,present,bisexual,,,wyrpum,,,"ovoid,fusiform","equal,lobed",,Scrophulariaceae
Mohavea,annual ,monoecious,,erect,alternate,"lanceolate,entire,pinnate",,none,solitary,,present,bisexual,,,yw,,,ovoid,"equal,lobed",,Scrophulariaceae
Nothochelone,perennial ,monoecious,,erect,opposite,"lanceolate,ovate,cordate",yes,none,panicle,small,,bisexual,,wooly,pm,,,,"equal,lobed",,Scrophulariaceae
Orthocarpus,annual ,monoecious,,,alternate,entire,no,none,spike,"entire,lobed",,bisexual,,,wypu,slender,,ovoid,lobed,,Scrophulariaceae
Parentucellia,annual,monoecious,,erect,opposite,,no,none,"raceme,spike,terminal",leaf like,,bisexual,,hairy,rpy,,,cylindric,"equal,lobed",,Scrophulariaceae
Pedicularis,perennial ,monoecious,,"decumbent,erect",alternate,toothed,yes,none,"raceme,spike",present,present,bisexual,,,wyrpu,,,"capsule,ovoid","lobed,fused",,Scrophulariaceae
Penstemon,perennial ,monoecious,shrub,,opposite,"entire,toothed",no,none,"panicle,raceme,",small,,bisexual,,,wyrblppu,,,capsule,"equal,lobed",,Scrophulariaceae
Scrophularia,perennial,monoecious,shrub,square,opposite,"lanceolate,trianglar,ovate",yes,none,panicle,lanceolate,present,bisexual,,,ymg,slender,,capsule,lobed,,Scrophulariaceae
Stemodia,perennial ,monoecious,,"ascending,erect",opposite,"serrate,entire",,none,raceme,present,present,bisexual,,,purple,,,"cylindric,capsule",free,,Scrophulariaceae
Synthyris,perennial ,monoecious,,scapose,opposite,"ovate,round,cordate,serrate",yes,none,raceme,present,present,bisexual,,,blpu,,,capsule,free,yes,Scrophulariaceae
Tonella,annual,monoecious,,"erect,slender,branched",opposite,"entire,lobed",,none,raceme,present,present,bisexual,,,wblpu,,,"spheric,ovoid,capsule",lobed,,Scrophulariaceae
Triphysaria,annual,monoecious,,,alternate,linear,no,none,spike,leaf like,,bisexual,,,wyppu,,,"capsule,ovoid","equal,lobed",,Scrophulariaceae
Verbascum,biennial ,monoecious,,"erect,branched",alternate,,,none,"raceme,panicle",present,present,bisexual,,,yw,,,capsule,lobed,,Scrophulariaceae
Veronica,both,monoecious,,"erect,prostrate",opposite,"oblanceolate,ovate,elliptic,triangular,serrate","yes,no",none,"raceme,terminal",small,present,bisexual,,,blpu,,,"capsule,flat,obcordate","free,unequal",,Scrophulariaceae
