Example,Shoot growth form,Leaf distribution along the axis (arrangement),Apomixis,Plant growth form,Plant growth form standardized,Flower sexual system,Species reproduction types,Flower color,Fruit type,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf type,"Dicliny (monoeceous, dioecious, hermaphrodite)",Fertilization,Seed morphology,Plant functional type PFT (Sheffield DGVM 1),Plant functional type PFT (Sheffield DGVM 2),Plant functional type PFT (Sheffield DGVM 3),Plant functional type PFT (LPJ DGVM 1),Plant functional type PFT (LPJ DGVM 2),"Plant functional type PFT (Poulter, B)",Leaf shape,Dichogamy,Growth Form,Low Growing Grass,Shape and Orientation,Plant functional type PFT (Biome-BGC 1),Plant functional type PFT (Biome-BGC 2),Flower - Inflorescence,Flower - Corolla,Leaf shape: driptip,Class
Potentilla neglecta,Stem erect,semi-rosette,facultativ apomictic,,Vine,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla
Potentilla norvegica,Stem erect,no rosette,obligat apomictic,,Herb,hermaphrodite,by seed/by spore,yellow,aggregate nutlets,toothed,rounded,length = width,cuneate,subsessile,,hermaphrodite,apomictic,No appendages,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla praecox,Stem ascending to prostrate,semi-rosette,obligat apomictic,,,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla
Potentilla pusilla,Stem prostrate,semi-rosette,facultativ apomictic,b H,Herb,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla recta,Stem erect,semi-rosette,"amphimicitc, sexual",herb,Herb,hermaphrodite,"mostly by seed, rarely vegetatively",yellow,aggregate nutlets,,,,,,,hermaphrodite,normally cross,No appendages,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla reptans,Stem erect,no rosette,,herb,Herb,gynodioecy|gynomonoecy,by seed and vegetatively,yellow,aggregate nutlets,toothed,rounded,length = width,cuneate,petiolate,broadleaved,hermaphrodite,,No appendages,na,GC3,GC3,na,GC3,,always palmate,,,,,,GC3,,,,Potentilla
Potentilla rhenana,,always Hemirosette plant,obligat apomictic,,,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla sterilis,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,toothed,rounded,length = width,cuneate,petiolate,,hermaphrodite,cross or automatic self,Elaiosome,,,,,,,always palmate,weakly protogynous,,,,,,,,,Potentilla
Potentilla supina,Stem prostrate,no rosette,,herb,Herb,gynodioecy|gynomonoecy,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,"No appendages, coarse surface",,,,,,,always pinnate,,,,,,,,,,Potentilla
Potentilla tabernaemontani,Stem erect,always Hemirosette plant,facultativ apomictic,Forbs,,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,toothed,rounded,length = width,cuneate,subsessile,,hermaphrodite,cross and self,"No appendages, coarse surface",,,,,,,always palmate,weakly protogynous,,,,,,,,,Potentilla
Potentilla thuringiaca,,no rosette,,b H,,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla thyrsiflora,Stem ascending to prostrate,always Hemirosette plant,obligat apomictic,,Herb,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Quercus acutissima,,alternate,,T,Tree,,,Green,,,,,,,broadleaved,,,,,,,,,,lanceolate,,Single Stem,No,Rounded,,,,,acute,Quercus
Quercus agrifolia,,alternate,,Tree,,,,Yellow,,,,,,,broadleaved,,,,TEB,TEB,TEB,TmpEvBl,TmpEvBl,,,,Single Crown,No,Irregular,EvBl,EvBl,,,obtuse,Quercus
Quercus alba,,alternate,,tree,Tree,,,Yellow,,,,,,,broadleaved,,,,DcBl,TDB,TDB,TmpDcBl,TmpDcBl,Boreal,,,Single Stem,No,Erect,DcBl,DcBl,,,acute,Quercus
Quercus cerris,Stem erect,alternate,"amphimicitc, sexual",Tree,,monoecious,by seed/by spore,yellow,nut,lobed,pointed,1-3 times as long as wide,truncate,petiolate,broadleaved,monoecious,,Open structures,TDB,TDB,TDB,TmpDcBl,TmpDcBl,,always lobate,,,,,DcBl,DcBl,,,,Quercus
Quercus coccifera,,alternate,,S,,,,,fleshy,,,,,,B,,,,na,TEB,SEB,na,TmpEvBl,,broad,,,,,EvSh,EvSh,,,,Quercus
Quercus coccinea,,alternate,,T,Tree,,,Yellow,,,,,,,broadleaved,,,,DcBl,TDB,TDB,TmpDcBl,TmpDcBl,,,,Single Stem,No,Erect,DcBl,DcBl,,,acute,Quercus
Quercus douglasii,,alternate,,Tree,Tree,,,Yellow,,,,,,,B,,,,TDB,TDB,TDB,TmpDcBl,TmpDcBl,,,,Single Stem,No,Erect,DcBl,DcBl,,,obtuse,Quercus
Quercus faginea,,alternate,,T,,,,,dry,,,,,,B,,,,TDB,TDB,TDB,TmpDcBl,TmpDcBl,,broad,,,,,DcBl,DcBl,,,,Quercus
Quercus falcata,,alternate,,T,Tree,,,Yellow,,,,,,,B,,,,TDB,TDB,TDB,TmpDcBl,TmpDcBl,,,,Single Stem,No,Erect,DcBl,DcBl,,,acute,Quercus
Quercus ilex,Stem erect,alternate,,T,Tree,,,,dry,,,,,,broadleaved,,,,EvBl,TEB,TEB,TmpEvBl,TmpEvBl,,broad,,,,,EvBl,EvBl,,,obtuse,Quercus
Quercus incana,,alternate,,shrub/tree,,,,,,,,,,,broadleaved,,,,TEB,TEB,TEB,TmpEvBl,TmpEvBl,Temperate,,,,,,EvBl,EvBl,,,obtuse,Quercus
Quercus kelloggii,,alternate,,Tree,Tree,,,Yellow,,,,,,,B,,,,TDB,TDB,TDB,TmpDcBl,TmpDcBl,,,,Single Stem,No,Erect,DcBl,DcBl,,,acuminate (strongly acute),Quercus
Quercus laevis,,alternate,,tree,Tree,,,Yellow,,,,,,,broadleaved,,,,DcBl,TDB,TDB,TmpDcBl,TmpDcBl,Temperate,,,Single Stem,No,Erect,DcBl,DcBl,,,acute,Quercus
Quercus laurifolia,,alternate,,tree,Tree,,,Yellow,,,,,,,broadleaved,,,,TEB,TEB,TEB,TmpEvBl,TmpEvBl,Temperate,,,Single Stem,No,Erect,EvBl,EvBl,,,obtuse,Quercus
Quercus lobata,,alternate,,Tree,Tree,,,Yellow,,,,,,,broadleaved,,,,TDB,TDB,TDB,TmpDcBl,TmpDcBl,,,,Single Crown,No,Rounded,DcBl,DcBl,,,obtuse,Quercus
Quercus macrocarpa,,alternate,,shrub/tree,,,,Yellow,,,,,,,broadleaved,,,,DcBl,TDB,TDB,TmpDcBl,TmpDcBl,Boreal,,,Single Stem,No,Erect,DcBl,DcBl,,,obtuse,Quercus
Quercus michauxii,,alternate,,T,Tree,,,Yellow,,,,,,,broadleaved,,,,DcBl,TDB,TDB,TmpDcBl,TmpDcBl,,,,Single Stem,No,Erect,DcBl,DcBl,,,acuminate (strongly acute),Quercus
Quercus mongolica,,alternate,,tree,Tree,,,,,,,,,,broadleaved,,,,TDB,TDB,TDB,TmpDcBl,TmpDcBl,Boreal,obovate,,,,,DcBl,DcBl,,,acute,Quercus
Quercus myrtifolia,,alternate,,T,Tree,,,,,,,,,,B,,,,TEB,TEB,TEB,TmpEvBl,TmpEvBl,Temperate,,,,,,EvBl,EvBl,,,obtuse,Quercus
Quercus nigra,,alternate,,T,Tree,,,Yellow,,,,,,,B,,,,TEB,TEB,TEB,TmpEvBl,TmpEvBl,,,,Single Stem,No,Erect,EvBl,EvBl,,,obtuse,Quercus
Quercus palustris,Stem erect,alternate,,Tree,Tree,,,Yellow,,,,,,,broad-leaved,,,No appendages,,,,,,,,,Colonizing,No,Erect,,,,,obtuse,Quercus
Quercus petraea,Stem erect,alternate,"amphimicitc, sexual",tree,Tree,monoecious,generative,green,nut,lobed,rounded,1-3 times as long as wide,truncate,petiolate,broadleaved,monoecious,,Open structures,TDB,TDB,TDB,TmpDcBl,TmpDcBl,Temperate,always lobate,,,,,DcBl,DcBl,,,,Quercus
Quercus pubescens,Stem erect,alternate,"amphimicitc, sexual",T,,monoecious,by seed/by spore,green,nut,,,,,,broadleaved,,,Open structures,TDB,TDB,TDB,TmpDcBl,TmpDcBl,Temperate,always lobate,,,,,DcBl,DcBl,,,,Quercus
Quercus robur,Stem erect,alternate,"amphimicitc, sexual",tree,Tree,monoecious,generative,green,nut,lobed,rounded,1-3 times as long as wide,cordate,petiolate,broadleaved,monoecious,obligatory cross,Open structures,DcBl,TDB,TDB,TmpDcBl,TmpDcBl,Temperate,always lobate,,,,,DcBl,DcBl,,,obtuse,Quercus
Quercus rotundifolia,,alternate,,T,,,,,dry,,,,,,B,,,,TEB,TEB,TEB,TmpEvBl,TmpEvBl,,broad,,,,,EvBl,EvBl,,,,Quercus
Quercus rubra,Stem erect,alternate,"amphimicitc, sexual",tree,Tree,monoecious,by seed/by spore,Yellow,nut,,,,,,broadleaved,,,Open structures,DcBl,TDB,TDB,TmpDcBl,TmpDcBl,Temperate,always lobate,,Single Stem,No,Erect,DcBl,DcBl,,,acute,Quercus
Quercus shumardii,,alternate,,T,,,,Yellow,,,,,,,B,,,,TDB,TDB,TDB,TmpDcBl,TmpDcBl,,,,Single Stem,No,Erect,DcBl,DcBl,,,acute,Quercus
Quercus stellata,,alternate,,T,Tree,,,Yellow,,,,,,,broadleaved,,,,TDB,TDB,TDB,TmpDcBl,TmpDcBl,,,,Single Stem,No,Erect,DcBl,DcBl,,,obtuse,Quercus
Quercus suber,,alternate,,T,Tree,,,,dry,,,,,,broadleaved,,,,TEB,TEB,TEB,TmpEvBl,TmpEvBl,,broad,,,,,EvBl,EvBl,,,,Quercus
Quercus velutina,,alternate,,tree,Tree,,,Yellow,,,,,,,broadleaved,,,,DcBl,TDB,TDB,TmpDcBl,TmpDcBl,Boreal,,,Single Stem,No,Erect,DcBl,DcBl,,,obtuse,Quercus
Quercus virginiana,,alternate,,T,Tree,,,Yellow,,,,,,,broadleaved,,,,EvBl,TEB,TEB,TmpEvBl,TmpEvBl,,,,Single Stem,No,Rounded,EvBl,EvBl,,,obtuse,Quercus
Ranunculus aconitifolius,Stem erect,semi-rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,,,,,,,,,One short elongated appendage,,,,,,,always palmate,,,,,,,,,,Ranunculus
Ranunculus acris,Stem erect,semi-rosette,"mostly sexual, rarely apomictic",herb,Herb,gynomonoecious,vegetative & generative,yellow,aggregate nutlets,lobed and toothed,pointed,1-3 times as long as wide,cordate,sessile,broadleaved,polygamous,obligatory cross,One short elongated appendage,na,GC3,GC3,na,GC3,Temperate,always palmate,weakly protandrous,,,,,GC3,,,,Ranunculus
Ranunculus alpestris,,semi-rosette,"amphimicitc, sexual",b H,,andromonoecious,by seed and vegetatively,white,aggregate nutlets,,,,,,,,,,,,,,,,always digitate,,,,,,,,,,Ranunculus
Ranunculus aquatilis,Floating leaves attached to the substrate,no rosette,"amphimicitc, sexual",submerged,Herb,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,toothed,pointed,length = width,cordate,petiolate,,hermaphrodite,,,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus arvensis,Stem erect,no rosette,"amphimicitc, sexual",a T,Herb,gynomonoecious,by seed/by spore,yellow,aggregate nutlets,toothed,pointed,1-3 times as long as wide,cuneate,sessile,,hermaphrodite,normally cross,Two or more long elongated appendages,,,,,,,always palmate,weakly protandrous,,,,,,,,,Ranunculus
Ranunculus auricomus,Stem erect,semi-rosette,facultativ apomictic,forb,Herb,,,,,toothed,rounded,length = width,cuneate,sessile,,hermaphrodite,apomictic,Flat appendages (small),,,,,,,,protogynous,,,,,,,,,Ranunculus
Ranunculus bulbosus,Stem erect,semi-rosette,"mostly sexual, rarely apomictic",herb,Herb,gynodioecious,generative,yellow,aggregate nutlets,lobed and toothed,pointed,1-3 times as long as wide,cuneate,sessile,broadleaved,hermaphrodite,normally cross,Flat appendages (small),na,GC3,GC3,na,GC3,,always palmate,homogamous,,,,,GC3,,,,Ranunculus
Ranunculus carinthiacus,,semi-rosette,"amphimicitc, sexual",,,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always digitate,,,,,,,,,,Ranunculus
Ranunculus cassubicus,Stem erect,semi-rosette,"amphimicitc, sexual",Herbaceous dicots,,hermaphroditic,by seed and vegetatively,,aggregate nutlets,,,,,,broad-leaved,,,Two or more short elongated appendages,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus circinatus,Submerged attached to the substrate,no rosette,"amphimicitc, sexual",n Hyd,,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,lobed,pointed,length = width,not applicable,petiolate,,hermaphrodite,,,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus flammula,Stem prostrate,,"amphimicitc, sexual",b H,Herb,hermaphroditic,vegetative,Yellow,aggregate nutlets,toothed,pointed,>3 times as long as wide,cuneate,sessile,,hermaphrodite,normally cross,One short elongated appendage,,,,,,,always long-leaf,weakly protandrous,Stoloniferous,No,Decumbent,,,,,,Ranunculus
Ranunculus fluitans,Submerged attached to the substrate,no rosette,"amphimicitc, sexual",Forbs,Aquatic,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,lobed,pointed,>3 times as long as wide,not applicable,petiolate,,hermaphrodite,,,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus hederaceus,Floating leaves attached to the substrate,no rosette,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,lobed,rounded,shorter than broad,cordate,petiolate,,hermaphrodite,normally self,,,,,,,,always full,protogynous,,,,,,,,,Ranunculus
Ranunculus hybridus,,no rosette,"amphimicitc, sexual",,,gynomonoecious,by seed and vegetatively,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always lobate,,,,,,,,,,Ranunculus
Ranunculus illyricus,Stem erect,,"amphimicitc, sexual",,Herb,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Ranunculus
Ranunculus lanuginosus,Stem erect,semi-rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,,,,,,,,,Flat appendages (small),,,,,,,always digitate,,,,,,,,,,Ranunculus
Ranunculus lingua,Stem erect,no rosette,"amphimicitc, sexual",Forbs,Aquatic,hermaphroditic,vegetative & generative,yellow,aggregate nutlets,entire,pointed,>3 times as long as wide,cuneate,petiolate,,hermaphrodite,normally cross,Flat appendages (small),,,,,,,always long-leaf,protogynous,,,,,,,,,Ranunculus
Ranunculus montanus,Stem erect,semi-rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always digitate,,,,,,,,,,Ranunculus
Ranunculus multifidus,,rosulate,,herb,Herb,,,yellow,nut,,,,,,,,,,,,,,,,deeply lobed,,,,,,,solitary (or few) flowers,,,Ranunculus
Ranunculus ololeucos,Submerged attached to the substrate,no rosette,"amphimicitc, sexual",,,hermaphroditic,"mostly by seed, rarely vegetatively",white,aggregate nutlets,,,,,,,,,One short elongated appendage,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus parviflorus,Stem erect,,,,Herb,,,,,lobed and toothed,rounded,length = width,cordate,petiolate,,hermaphrodite,,,,,,,,,,markedly protandrous,,,,,,,,,Ranunculus
Ranunculus peltatus,Submerged attached to the substrate,,"amphimicitc, sexual",submerged,,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,lobed,rounded,length = width,cordate,petiolate,,hermaphrodite,,,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus penicillatus,Submerged attached to the substrate,,"amphimicitc, sexual",Forbs,,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,lobed,rounded,length = width,cordate,petiolate,,hermaphrodite,normally self,,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus platanifolius,Stem erect,semi-rosette,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,,,,,,,,,One long elongated appendage,,,,,,,always palmate,,,,,,,,,,Ranunculus
Ranunculus polyanthemoides,,,"amphimicitc, sexual",,,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,,,,,,,,,,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus raeae,,rosulate,,herb,Herb,,,yellow,nut,,,,,,,,,,,,,,,,deeply lobed,,,,,,,solitary (or few) flowers,free,,Ranunculus
Ranunculus repens,Stem prostrate,,"amphimicitc, sexual",Herbaceous dicots,Herb,gynodioecious,vegetative & generative,Yellow,aggregate nutlets,lobed and toothed,pointed,1-3 times as long as wide,cuneate,sessile,broad-leaved,hermaphrodite,normally cross,One short elongated appendage,na,na,na,na,na,,always palmate,protogynous,Stoloniferous,No,Prostrate,,,,,,Ranunculus
Ranunculus reptans,Stem prostrate,,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,entire,pointed,>3 times as long as wide,cuneate,petiolate,,hermaphrodite,,One short elongated appendage,,,,,,,always long-leaf,,,,,,,,,,Ranunculus
Ranunculus rionii,Submerged attached to the substrate,semi-rosette,"amphimicitc, sexual",,Herb,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,,,,,,,,,,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus sardous,Stem erect,semi-rosette,"amphimicitc, sexual",Forbs,Herb,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,lobed and toothed,pointed,1-3 times as long as wide,cuneate,sessile,,hermaphrodite,normally cross,One short elongated appendage,,,,,,,always palmate,weakly protogynous,,,,,,,,,Ranunculus
Ranunculus sceleratus,Stem erect,semi-rosette,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphroditic,by seed/by spore,Yellow,aggregate nutlets,toothed,pointed,length = width,cuneate,sessile,,hermaphrodite,obligatory cross,"No appendages, coarse surface",,,,,,,always digitate,protogynous,Single Crown,No,Erect,,,,,,Ranunculus
Ranunculus serpens,Stem erect,semi-rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,,,,,,,,,,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus trichophyllus,Submerged attached to the substrate,,"amphimicitc, sexual",n Hyd,Herb,gynomonoecious,"mostly vegetatively, rarely by seed",white,aggregate nutlets,lobed,pointed,length = width,not applicable,petiolate,,hermaphrodite,normally self,,,,,,,,,,,,,,,,,,Ranunculus
Ranunculus tripartitus,Floating leaves attached to the substrate,no rosette,"amphimicitc, sexual",,,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,lobed,rounded,length = width,cordate,petiolate,,hermaphrodite,,,,,,,,,,,,,,,,,,,Ranunculus
Rosa abyssinica,,alternate,,woody,,,,white,nut,,,,,,,,,,,,,,,,ovate or elliptic etc.,,,,,,,solitary (or few) flowers,free,,Rosa
Rosa agrestis,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed/by spore,pink,aggregate nutlets,toothed,pointed,1-3 times as long as wide,cuneate,petiolate,,hermaphrodite,,Pulp,,,,,,,always pinnate,homogamous,,,,,,,,acute,Rosa
Rosa arvensis,Stem ascending to prostrate,alternate,"amphimicitc, sexual",Lianas (wody climbers),,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,toothed,pointed,1-3 times as long as wide,rounded,petiolate,broad-leaved,hermaphrodite,,Pulp,na,na,na,na,na,,always pinnate,homogamous,,,,,,,,obtuse,Rosa
Rosa caesia,Stem erect,always Erosulate plant,,Shrub,Shrub,hermaphroditic,by seed/by spore,red,aggregate nutlets,toothed,pointed,1-3 times as long as wide,rounded,petiolate,B,hermaphrodite,,,na,TDB,TDB,na,TmpDcBl,,always pinnate,homogamous,,,,,DcBl,,,,Rosa
Rosa canina,Stem erect,alternate,,S,Shrub,hermaphroditic,by seed/by spore,pink,aggregate nutlets,toothed,pointed,1-3 times as long as wide,rounded,petiolate,B,hermaphrodite,obligatory cross,Pulp,na,TDB,TDB,na,TmpDcBl,,always pinnate,homogamous,,,,,DcBl,,,,Rosa
Rosa corymbifera,Stem erect,alternate,,Shrub,,hermaphroditic,by seed/by spore,pink,aggregate nutlets,,,,,,,,,,,,,,,,always pinnate,,,,,,,,,obtuse,Rosa
Rosa elliptica,Stem erect,alternate,"amphimicitc, sexual",Shrub,,hermaphroditic,by seed and vegetatively,pink,aggregate nutlets,,,,,,,,,,,,,,,,always pinnate,,,,,,,,,,Rosa
Rosa gallica,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed and vegetatively,red,aggregate nutlets,,,,,,,,,"No appendages, coarse surface",,,,,,,always pinnate,,,,,,,,,obtuse,Rosa
Rosa glauca,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed/by spore,red,aggregate nutlets,,,,,,B,,,,na,TDB,TDB,na,TmpDcBl,,always pinnate,,,,,,DcBl,,,acute,Rosa
Rosa majalis,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed and vegetatively,purple,aggregate nutlets,,,,,,B,,,,na,TDB,TDB,na,TmpDcBl,,always pinnate,,,,,,DcBl,,,obtuse,Rosa
Rosa marginata,Stem erect,alternate,"amphimicitc, sexual",Shrub,,hermaphroditic,by seed and vegetatively,pink,aggregate nutlets,,,,,,,,,,,,,,,,always pinnate,,,,,,,,,acute,Rosa
Rosa micrantha,Stem erect,alternate,"amphimicitc, sexual",S,Shrub,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,toothed,pointed,1-3 times as long as wide,rounded,petiolate,B,hermaphrodite,,,na,TDB,TDB,na,TmpDcBl,,always pinnate,homogamous,,,,,DcBl,,,acute,Rosa
Rosa mollis,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,toothed,rounded,1-3 times as long as wide,,petiolate,B,hermaphrodite,,,na,TDB,TDB,na,TmpDcBl,,always pinnate,homogamous,,,,,DcBl,,,,Rosa
Rosa multiflora,Lianas and climbers,alternate,"amphimicitc, sexual",shrub,Shrub,hermaphroditic,by seed/by spore,white,aggregate nutlets,,,,,,,,,,,,,,,,always pinnate,,,,,,,,,acute,Rosa
Rosa obtusifolia,Stem erect,always Erosulate plant,,,Shrub,hermaphroditic,by seed/by spore,white,aggregate nutlets,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,hermaphrodite,,,,,,,,,always pinnate,homogamous,,,,,,,,,Rosa
Rosa pendulina,Stem erect,alternate,"amphimicitc, sexual",Shrub,,hermaphroditic,by seed and vegetatively,pink,aggregate nutlets,,,,,,,,,,,,,,,,always pinnate,,,,,,,,,obtuse,Rosa
Rosa rubiginosa,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed/by spore,Red,aggregate nutlets,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,hermaphrodite,cross or automatic self,,,,,,,,always pinnate,homogamous,Multiple Stem,No,Erect,,,,,obtuse,Rosa
Rosa rugosa,Stem erect,alternate,"amphimicitc, sexual",Shrub,,hermaphroditic,by seed and vegetatively,Red,aggregate nutlets,,,,,petiolate,B,,normally cross,,na,TDB,TDB,na,TmpDcBl,,always pinnate,,Rhizomatous,No,Semi-Erect,,DcBl,,,acute,Rosa
Rosa sherardii,Stem erect,alternate,"amphimicitc, sexual",Shrub,,hermaphroditic,by seed and vegetatively,red,aggregate nutlets,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,hermaphrodite,,,,,,,,,always pinnate,homogamous,,,,,,,,,Rosa
Rosa spinosissima,,,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,toothed,rounded,1-3 times as long as wide,,petiolate,B,hermaphrodite,cross or automatic self,,na,TDB,TDB,na,TmpDcBl,,always pinnate,homogamous,,,,,DcBl,,,,Rosa
Rosa stylosa,Stem erect,alternate,"amphimicitc, sexual",Shrub,,hermaphroditic,by seed/by spore,white,aggregate nutlets,toothed,pointed,1-3 times as long as wide,rounded,petiolate,,hermaphrodite,,,,,,,,,always pinnate,homogamous,,,,,,,,acute,Rosa
Rosa subcanina,Stem erect,alternate,,Shrub,Shrub,hermaphroditic,by seed/by spore,pink,aggregate nutlets,,,,,,B,,,,na,TDB,TDB,na,TmpDcBl,,always pinnate,,,,,,DcBl,,,,Rosa
Rosa subcollina,Stem erect,always Erosulate plant,,Shrub,Shrub,hermaphroditic,by seed/by spore,white,aggregate nutlets,,,,,,,,,,,,,,,,always pinnate,,,,,,,,,,Rosa
Rosa tomentosa,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed/by spore,pink,aggregate nutlets,toothed,pointed,1-3 times as long as wide,rounded,petiolate,B,hermaphrodite,,,na,TDB,TDB,na,TmpDcBl,,always pinnate,homogamous,,,,,DcBl,,,obtuse,Rosa
Rosa villosa,Stem erect,alternate,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed and vegetatively,red,aggregate nutlets,,,,,,,,,Nutrient containing structures,,,,,,,always pinnate,,,,,,,,,obtuse,Rosa
Rubus acanthodes,,leaves distributed regularly along the stem,facultativ apomictic,,,hermaphroditic,by seed and vegetatively,white,aggregate drupelets,,,,,,,,,,,,,,,,,,,,,,,,,,Rubus
Rubus allegheniensis,,,"amphimicitc, sexual",Shrub,Shrub,hermaphroditic,by seed and vegetatively,White,aggregate drupelets,,,,,,broadleaved,,,,,,,,,,,,Thicket Forming,No,Erect,,,,,,Rubus
Rubus armeniacus,Stem erect,always Erosulate plant,facultativ apomictic,,,hermaphroditic,by seed and vegetatively,pink,aggregate drupelets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Rubus
Rubus bertramii,,no rosette,facultativ apomictic,,Shrub,hermaphroditic,by seed and vegetatively,,aggregate drupelets,,,,,,,,,,,,,,,,,,,,,,,,,,Rubus
Rubus bifrons,Stem erect,leaves distributed regularly along the stem,facultativ apomictic,,Shrub,hermaphroditic,by seed and vegetatively,pink,aggregate drupelets,,,,,,,,,,,,,,,,,,,,,,,,,,Rubus
Rubus caesius,Lianas and climbers,,facultativ apomictic,shrub,Shrub,hermaphroditic,by seed and vegetatively,white,aggregate drupelets,toothed,rounded,length = width,,petiolate,,hermaphrodite,cross and self,Pulp,,,,,,,always palmate,weakly protandrous,,,,,,,,,Rubus
Rubus canescens,,leaves distributed regularly along the stem,facultativ apomictic,Lianas (wody climbers),Shrub,dioecy,by seed and vegetatively,white,aggregate drupelets,,,,,,,,,,,,,,,,,,,,,,,,,,Rubus
Rubus chamaemorus,Stem erect,no rosette,"amphimicitc, sexual",herb,,dioecy,vegetative,White,aggregate drupelets,lobed and toothed,rounded,length = width,cordate,petiolate,broadleaved,hermaphrodite,obligatory cross,Pulp,na,GC3,GC3,na,GC3,Boreal,always lobate,,Thicket Forming,No,Semi-Erect,,GC3,,,,Rubus
Rubus dasyphyllus,,leaves distributed regularly along the stem,facultativ apomictic,,Shrub,hermaphroditic,by seed and vegetatively,pink,aggregate drupelets,,,,,,,,,,,,,,,,,,,,,,,,,,Rubus
Rubus fasciculatus,,leaves distributed regularly along the stem,facultativ apomictic,,Shrub,hermaphroditic,by seed and vegetatively,white,aggregate drupelets,,,,,,,,,,,,,,,,,,,,,,,,,,Rubus
